Lead Origin,Lead Source,Converted,TotalVisits,Total Time Spent on Website,Page Views Per Visit,Last Activity,Specialization,What is your current occupation,Tags,Last Notable Activity
API,Olark Chat,0,0.0,0,0.0,Page Visited on Website,Unknown,Unemployed,Interested in other courses,Modified
API,Organic Search,0,5.0,674,2.5,Email Opened,Unknown,Unemployed,Ringing,Email Opened
Landing Page Submission,Direct Traffic,1,2.0,1532,2.0,Email Opened,Business Administration,Student,Will revert after reading the email,Email Opened
Landing Page Submission,Direct Traffic,0,1.0,305,1.0,Unreachable,Media and Advertising,Unemployed,Ringing,Modified
Landing Page Submission,Google,1,2.0,1428,1.0,Converted to Lead,Unknown,Unemployed,Will revert after reading the email,Modified
API,Olark Chat,0,0.0,0,0.0,Olark Chat Conversation,Unknown,Unknown,Unknown,Modified
Landing Page Submission,Google,1,2.0,1640,2.0,Email Opened,Supply Chain Management,Unemployed,Will revert after reading the email,Modified
API,Olark Chat,0,0.0,0,0.0,Olark Chat Conversation,Unknown,Unknown,Unknown,Modified
Landing Page Submission,Direct Traffic,0,2.0,71,2.0,Email Opened,IT Projects Management,Unknown,Unknown,Email Opened
API,Google,0,4.0,58,4.0,Email Opened,Finance Management,Unknown,Unknown,Email Opened
Landing Page Submission,Organic Search,1,8.0,1351,8.0,Email Opened,Travel and Tourism,Unemployed,Will revert after reading the email,Email Opened
Landing Page Submission,Direct Traffic,1,8.0,1343,2.67,Page Visited on Website,Human Resource Management,Unemployed,Lost to EINS,Page Visited on Website
API,Organic Search,1,11.0,1538,11.0,Email Opened,Marketing Management,Unemployed,Will revert after reading the email,Modified
Landing Page Submission,Organic Search,0,5.0,170,5.0,Email Opened,Business Administration,Unemployed,Ringing,Email Opened
Landing Page Submission,Direct Traffic,0,1.0,481,1.0,Email Bounced,Business Administration,Unemployed,Unknown,Email Bounced
API,Organic Search,1,6.0,1012,6.0,Email Opened,Unknown,Unemployed,Will revert after reading the email,Email Opened
API,Olark Chat,0,0.0,0,0.0,Olark Chat Conversation,Unknown,Unknown,Unknown,Modified
API,Referral Sites,0,6.0,973,6.0,Email Link Clicked,Unknown,Unemployed,Interested in other courses,Modified
Landing Page Submission,Google,1,6.0,1688,3.0,Page Visited on Website,Marketing Management,Unemployed,Unknown,Page Visited on Website
API,Organic Search,0,3.0,98,3.0,Page Visited on Website,Unknown,Unemployed,Interested in other courses,Modified
